file,length,cluster
./data\eight\eight-099.json,0.9009,24
./data\eight\eight-109.json,1.8351666666666666,24
./data\eight\eight-112.json,2.9696333333333333,24
./data\four\four-096.json,1.28,24
./data\seven\seven-003.json,1.5015,24
./data\seven\seven-020.json,0.6006,24
./data\six\six-062.json,1.1011,24
./data\two\two-060.json,2.135466666666667,24
./data\six\six-028.json,0.9676333333333333,25
./data\six\six-069.json,0.6006,25
./data\six\six-071.json,0.6006,25
./data\eight\eight-005.json,3.5702333333333334,26
./data\eight\eight-082.json,3.5368666666666666,26
./data\fifteen\fifteen-001.json,1.5348666666666666,26
./data\six\six-030.json,0.8341666666666667,26
./data\six\six-068.json,0.8008000000000001,26
./data\six\six-074.json,2.0353666666666665,26
./data\two\two-050.json,4.1041,27
./data\two\two-052.json,1.7350666666666668,27
./data\five\five-004.json,3.336666666666667,28
./data\five\five-030.json,3.336666666666667,28
./data\five\five-078.json,2.3356666666666666,28
./data\five\five-079.json,1.3346666666666667,28
./data\two\two-019.json,2.0687333333333333,28
./data\two\two-048.json,0.5005000000000001,28
./data\two\two-055.json,2.3023000000000002,28
./data\two\two-056.json,1.6349666666666667,28
./data\fifteen\fifteen-007.json,0.6339666666666667,29
./data\fifteen\fifteen-008.json,2.5692333333333335,29
./data\fifteen\fifteen-012.json,2.0353666666666665,29
./data\fifteen\fifteen-018.json,0.5338666666666667,29
./data\fifteen\fifteen-019.json,0.5005000000000001,29
./data\fifteen\fifteen-025.json,0.6006,29
./data\thirteen\thirteen-006.json,1.4681333333333333,29
./data\thirteen\thirteen-008.json,1.8351666666666666,29
./data\fifteen\fifteen-013.json,0.8675333333333334,30
./data\one\one-001.json,1.0677333333333334,31
./data\one\one-003.json,2.9362666666666666,31
./data\one\one-004.json,2.435766666666667,31
./data\one\one-007.json,3.9039,31
./data\one\one-009.json,2.5025,31
./data\one\one-012.json,1.8018,31
./data\one\one-017.json,1.4347666666666667,31
./data\one\one-020.json,1.5015,31
./data\one\one-021.json,2.9696333333333333,31
./data\one\one-032.json,2.6026000000000002,31
./data\one\one-034.json,3.003,31
./data\one\one-035.json,1.4681333333333333,31
./data\one\one-037.json,3.4034,31
./data\one\one-050.json,1.9352666666666667,31
./data\five\five-071.json,1.3346666666666667,32
./data\one\one-002.json,2.6026000000000002,32
./data\one\one-025.json,3.4034,32
