file,length,cluster
./data\five\five-079.json,1.3346666666666667,32
./data\two\two-048.json,0.5005000000000001,32
./data\two\two-055.json,2.3023000000000002,32
./data\eight\eight-063.json,1.4347666666666667,33
./data\eight\eight-061.json,2.6359666666666666,34
./data\eight\eight-092.json,1.2012,34
./data\eight\eight-098.json,1.4347666666666667,34
./data\eight\eight-100.json,2.0687333333333333,34
./data\eight\eight-102.json,1.9352666666666667,34
./data\eight\eight-107.json,2.3356666666666666,34
./data\eight\eight-109.json,1.8351666666666666,34
./data\eight\eight-112.json,2.9696333333333333,34
./data\fifteen\fifteen-001.json,1.5348666666666666,34
./data\fifteen\fifteen-017.json,0.5338666666666667,34
./data\six\six-029.json,1.8351666666666666,34
./data\six\six-030.json,0.8341666666666667,34
./data\six\six-031.json,1.0010000000000001,34
./data\six\six-036.json,1.7350666666666668,34
./data\six\six-046.json,0.7007,34
./data\six\six-048.json,0.7340666666666666,34
./data\six\six-060.json,2.435766666666667,34
./data\six\six-066.json,0.8675333333333334,34
./data\six\six-073.json,2.2689333333333335,34
./data\six\six-075.json,1.8351666666666666,34
./data\six\six-076.json,1.2012,34
./data\five\five-050.json,1.9019,35
./data\fifteen\fifteen-007.json,0.6339666666666667,36
./data\fifteen\fifteen-008.json,2.5692333333333335,36
./data\fifteen\fifteen-025.json,0.6006,36
./data\thirteen\thirteen-006.json,1.4681333333333333,36
./data\thirteen\thirteen-008.json,1.8351666666666666,36
./data\eight\eight-030.json,1.9686333333333335,37
./data\eight\eight-008.json,2.6693333333333333,38
./data\eight\eight-014.json,2.8028,38
./data\eight\eight-020.json,2.0353666666666665,38
./data\eight\eight-022.json,1.1011,38
./data\eight\eight-044.json,0.9676333333333333,38
./data\eight\eight-047.json,1.1344666666666667,38
./data\eight\eight-062.json,1.5348666666666666,38
./data\eight\eight-067.json,2.0353666666666665,38
./data\eight\eight-070.json,1.9686333333333335,38
./data\eight\eight-086.json,2.3690333333333333,38
./data\eight\eight-091.json,0.6006,38
./data\eight\eight-115.json,0.8008000000000001,38
./data\eight\eight-134.json,3.3033,38
./data\six\six-054.json,1.0010000000000001,38
./data\six\six-100.json,1.3680333333333334,38
./data\eight\eight-036.json,1.1678333333333333,39
./data\eight\eight-037.json,0.6006,39
./data\fifteen\fifteen-030.json,3.336666666666667,40
./data\fourteen\fourteen-007.json,3.4034,40
./data\sixteen\sixteen-004.json,3.1031,40
./data\thirteen\thirteen-019.json,3.5035000000000003,40
./data\tweleve\tweleve-007.json,3.4034,40
./data\fifteen\fifteen-011.json,0.5005000000000001,41
./data\five\five-048.json,2.0687333333333333,41
./data\seven\seven-011.json,2.9029000000000003,42
./data\seven\seven-015.json,1.1344666666666667,42
./data\seven\seven-021.json,0.7007,42
./data\seven\seven-039.json,1.0010000000000001,42
./data\six\six-090.json,2.7027,42
./data\six\six-092.json,0.7007,42
./data\six\six-093.json,0.6006,42
./data\two\two-004.json,2.7027,42
./data\five\five-065.json,2.435766666666667,43
./data\five\five-066.json,2.1021,43
./data\fifteen\fifteen-013.json,0.8675333333333334,44
./data\fifteen\fifteen-028.json,1.4014,44
./data\one\one-028.json,2.435766666666667,45
./data\one\one-039.json,2.0020000000000002,45
./data\one\one-041.json,3.5368666666666666,45
./data\seven\seven-009.json,0.9009,45
./data\seven\seven-012.json,1.7684333333333333,45
./data\five\five-071.json,1.3346666666666667,46
./data\seven\seven-003.json,1.5015,46
./data\eight\eight-125.json,1.0677333333333334,47
./data\eight\eight-128.json,0.9342666666666667,47
./data\eight\eight-103.json,2.7027,48
./data\eight\eight-104.json,2.2355666666666667,48
./data\eight\eight-111.json,3.1698333333333335,48
./data\eight\eight-003.json,3.636966666666667,49
./data\eight\eight-027.json,1.1011,49
./data\eight\eight-035.json,3.1031,49
./data\eight\eight-038.json,1.1344666666666667,49
./data\eight\eight-039.json,0.7007,49
./data\eight\eight-042.json,0.6006,49
./data\eight\eight-120.json,3.5368666666666666,49
./data\eight\eight-129.json,0.9009,49
./data\eight\eight-132.json,1.6349666666666667,49
./data\five\five-075.json,1.8351666666666666,49
./data\eight\eight-073.json,1.8018,50
./data\eight\eight-088.json,1.3013000000000001,50
./data\eight\eight-089.json,1.9352666666666667,50
./data\fifteen\fifteen-004.json,0.5005000000000001,50
./data\two\two-002.json,1.6683333333333334,50
./data\two\two-017.json,3.036366666666667,50
./data\two\two-018.json,2.736066666666667,50
./data\two\two-029.json,2.8028,50
./data\two\two-034.json,1.6016000000000001,50
./data\two\two-035.json,2.6693333333333333,50
./data\two\two-036.json,0.5672333333333334,50
./data\thirteen\thirteen-005.json,1.7017,51
./data\thirteen\thirteen-007.json,2.6693333333333333,51
./data\six\six-016.json,1.0677333333333334,52
./data\six\six-018.json,1.6349666666666667,52
./data\thirteen\thirteen-009.json,1.6016000000000001,53
./data\thirteen\thirteen-011.json,1.7017,53
./data\thirteen\thirteen-012.json,1.5015,53
